METADATA|LegacyLearningItem|LearningItemId|EffectiveStartDate|EffectiveEndDate|LearningItemNumber|Title|ShortDescription|OwnedByPersonId|OwnedByPersonNumber|SourceType|SourceId|SourceInfo|SourceSystemOwner|SourceSystemId
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_1|MoLeaWiz|||3016645||||HCMS|PK_VR_1
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_9|Day 3|||3016645||||HCMS|PK_VR_9
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_10|Day 0|||3016645||||HCMS|PK_VR_10
MERGE|LegacyLearningItem|||4712/12/31|PK_VR_11|Day 6|||3016645||||HCMS|PK_VR_11
MERGE|LegacyLearningItem||2020/26/2|4712/12/31|PK_VR_13|Phone Etiquette|Pelajari etika dan cara yang benar saat menelepon!||3016645||||HCMS|PK_VR_13
MERGE|LegacyLearningItem||2020/26/2|4712/12/31|PK_VR_14|Clean Desk Policy|Terapkan budaya membereskan area kerjamu untuk menjaga keamanan informasi perusahaan!||3016645||||HCMS|PK_VR_14
MERGE|LegacyLearningItem||2020/26/2|4712/12/31|PK_VR_15|The Rules|Peraturan-peraturan terkait Sustainable Finance dikemas menarik dalam modul ini. Penasaran?||3016645||||HCMS|PK_VR_15
MERGE|LegacyLearningItem||2020/26/2|4712/12/31|PK_VR_16|We Can Save The World|Ketahuilah fakta keadaan bumi dan solusi untuk menyelamatkannya dalam modul ini!||3016645||||HCMS|PK_VR_16
MERGE|LegacyLearningItem||2020/26/2|4712/12/31|PK_VR_17|Welcome Aboard Special Force!|Temukan arti Money Laundering dan Countering Financing of Terrorism dalam modul ini!||3016645||||HCMS|PK_VR_17
MERGE|LegacyLearningItem||2020/26/2|4712/12/31|PK_VR_18|Differentiate AML & CFT Mission!|Ini adalah misi pertamamu, tangkap penyusup dan jawab setiap pertanyaan dengan tepat!||3016645||||HCMS|PK_VR_18
MERGE|LegacyLearningItem||2020/26/2|4712/12/31|PK_VR_19|Kirkpatrick Evaluation Level 1|Yuk, berikan penilaian terhadap pengalaman pembelajaranmu di sini!||3016645||||HCMS|PK_VR_19
MERGE|LegacyLearningItem||2020/26/2|4712/12/31|PK_VR_20|Share Your Learning Experience!|Bagikan pengalaman pembelajaranmu pada piloting ini, sekarang!||3016645||||HCMS|PK_VR_20
MERGE|LegacyLearningItem||2020/26/2|4712/12/31|PK_VR_21|Disclaimer|Ketahui tujuan perjalanan belajarmu dengan pengalaman pembelajaran yang baru!||3016645||||HCMS|PK_VR_21
MERGE|LegacyLearningItem||2020/21/9|4712/12/31|PK_VR_22|DT HFG: Video by Hana Financial Group|Yuk cari tahu Digital Transformation yang sudah dilakukan Hana Financial Group.||3016645||||HCMS|PK_VR_22
MERGE|LegacyLearningItem||2020/21/9|4712/12/31|PK_VR_23|DT Eps 1: Digital Transformation|Perusahaan besar dunia sudah bertransformasi digital, apa saja yang mereka lakukan?||3016645||||HCMS|PK_VR_23
MERGE|LegacyLearningItem||2020/21/9|4712/12/31|PK_VR_24|Are You Ready for Digital Transformation?|Siapkah kamu menjadi bagian dari Transformasi Digital di Hana Bank?.||3016645||||HCMS|PK_VR_24
MERGE|LegacyLearningItem||2020/21/9|4712/12/31|PK_VR_25|DT Eps 2: The Digital Skills Gap and The Future of Jobs 2020|Apa saja yang harus kita persiapkan untuk menghadapi transformasi digital?||3016645||||HCMS|PK_VR_25
MERGE|LegacyLearningItem||2020/21/9|4712/12/31|PK_VR_26|DT Eps 3: Evolution of The Desk|Dampak teknologi kepada kehidupan kita dari perspektif Evolution of The Desk.||3016645||||HCMS|PK_VR_26
MERGE|LegacyLearningItem||2020/21/9|4712/12/31|PK_VR_27|DT Eps 4: Cyber Security |Cari tahu cara menjaga informasi pribadimu di era digital!||3016645||||HCMS|PK_VR_27
MERGE|LegacyLearningItem||2020/21/9|4712/12/31|PK_VR_28|DT Eps 5: QR Code by QRIS|Perkenalkan QRIS, transaksi cepat dan efisien yang dikeluarkan Bank Indonesia.||3016645||||HCMS|PK_VR_28
MERGE|LegacyLearningItem||2020/21/9|4712/12/31|PK_VR_29|DT Eps 6: 5 Step to Digital Transformation in The Financial Industry|Mengapa industri finansial harus bertransformasi digital? Cari tahu di modul ini||3016645||||HCMS|PK_VR_29
MERGE|LegacyLearningItem||2020/21/9|4712/12/31|PK_VR_30|DT Eps 7: The Future of Digital Payments|Temukan cara memprediksi pembayaran digital di masa depan pada modul ini.||3016645||||HCMS|PK_VR_30
MERGE|LegacyLearningItem||2020/21/9|4712/12/31|PK_VR_31|DT Eps 8: 9 Reasons Financial Planning and Analysis Belong in The Cloud|Temukan manfaat dari Financial Planning and Analysis in the Cloud.||3016645||||HCMS|PK_VR_31
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_32|Trade Finance Opening|Yuk, cari tahu apa saja yang akan kamu pelajari pada Trade Finance.||3016645||||HCMS|PK_VR_32
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_33|Trade Finance – Part 1 |Trade Finance Introduction.||3016645||||HCMS|PK_VR_33
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_34|Trade Finance – Part 2|Metode Pembayaran.||3016645||||HCMS|PK_VR_34
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_35|Trade Finance – Part 3|Dokumen dalam perdagangan internasional.||3016645||||HCMS|PK_VR_35
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_36|Trade Finance – Part 4|Produk-produk Trade Finance.||3016645||||HCMS|PK_VR_36
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_37|Trade Finance Quiz|Yuk, uji pemahamanmu mengenai materi yang sudah kamu pelajari!||3016645||||HCMS|PK_VR_37
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_42|PSBB|Yuk, berpartisipasi dalam Pembatasan Sosial Berskala Besar.||3016645||||HCMS|PK_VR_42
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_43|Do's and Don'ts WFH|Perhatikan ya Do and Dont selama Work From Home.||3016645||||HCMS|PK_VR_43
MERGE|LegacyLearningItem||2020/10/11|4712/12/31|PK_VR_44|Service Preventif Cabang|Langkah preventif cabang terkait layanan selama pandemi COVID-19.||3016645||||HCMS|PK_VR_44
MERGE|LegacyLearningItem||2020/16/10|4712/12/31|PK_VR_45|Welcoming|Yuk, cari tahu apa saja yang akan kamu pelajari pada APU PPT.||3016645||||HCMS|PK_VR_45
MERGE|LegacyLearningItem||2020/16/10|4712/12/31|PK_VR_46|Tinjauan APU PPT|Menggali lebih dalam definisi, regulasi, dan implementasi APU PPT.||3016645||||HCMS|PK_VR_46
MERGE|LegacyLearningItem||2020/16/10|4712/12/31|PK_VR_47|Elemen APU PPT|Elemen-elemen APU PPT yang perlu kamu pahami.||3016645||||HCMS|PK_VR_47
MERGE|LegacyLearningItem||2020/16/10|4712/12/31|PK_VR_48|Pelaporan dan Sanksi|Yuk, cari tahu Pelaporan dan Sanksi APU PPT!||3016645||||HCMS|PK_VR_48
MERGE|LegacyLearningItem||2020/16/10|4712/12/31|PK_VR_49|Case Study 1: Premium Rush|Studi kasus film Premium Rush dan hubungannya dengan APU PPT.||3016645||||HCMS|PK_VR_49
MERGE|LegacyLearningItem||2020/16/10|4712/12/31|PK_VR_50|Case Study 2: The Bourne Identity|Studi kasus film The Bourne Identity dan hubungannya dengan APU PPT.||3016645||||HCMS|PK_VR_50
MERGE|LegacyLearningItem||2020/16/10|4712/12/31|PK_VR_51|Closing|Yuk, dukung penerapan APU PPT sesuai kebijakan dan aturan yang berlaku!||3016645||||HCMS|PK_VR_51
